Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / International,Price / International,Compare At Price / International,Included / ireland,Price / ireland,Compare At Price / ireland,Status
vegan-dream-chocolate-milkshake-2kg,"Vegan Dream, Organic (Sustained Release) - Chocolate 2.27kg",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",2270.0,shopify,5,deny,manual,61.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/Vegan_DreamSL_Chocolate_2_27kg2022.png?v=1680004193,1,"",false,,,,,,,,,,,,,,,kg,,29.30,true,,,true,,,true,,,active
vegan-dream-organic-sustained-release-choco-coconut-pie,"Vegan Dream, Organic (Sustained Release) - Choco Coconut Pie 2.27kg",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",2270.0,shopify,0,deny,manual,61.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/Vegan_DreamSL_Choco_coco_pie_2_27kg2022.png?v=1680004191,1,"",false,,,,,,,,,,,,,,,kg,,29.30,true,,,true,,,true,,,active
vegan-dream-organic-sustained-release-banana,"Vegan Dream, Organic (Sustained Release) - Banana 2.27kg",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Vegan Dream - Standard, Vegan Dream(All)",true,Title,Default Title,,,,,"",2270.0,shopify,6,deny,manual,61.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/Vegan_DreamSL_Banana_2_27kg2022-1424x935.png?v=1680004188,1,"",false,,,,,,,,,,,,,,,kg,,29.30,true,,,true,,,true,,,active
vegan-dream-organic-allergen-free-salted-choco-toffee-1,"Vegan Dream, Organic (Allergen Free) - Salted Choco Toffee 2.27kg","",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Allergen free (Vegan Dream), Vegan Dream(All)",true,Title,Default Title,,,,,"",2270.0,shopify,0,deny,manual,61.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/VeganDreamAllergy_SaltedChocoToffee_2.27kg-2022.png?v=1680004186,1,"",false,,,,,,,,,,,,,,,kg,,29.30,true,,,true,,,true,,,active
product-test-yellow-jar,"Vegan Dream, Organic (Allergen Free) - Cotton Candy Vanilla 907g","",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Allergen free (Vegan Dream), Vegan Dream(All)",true,Title,Default Title,,,,,"",907.0,shopify,6,deny,manual,35.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/VeganDreamAllergy_CottonCandy_0.9kg2023.png?v=1680004184,1,"",false,,,,,,,,,,,,,,,g,,14.24,true,,,true,,,true,,,active
vegan-dream-organic-allergen-free-cotton-candy-vanilla-1,"Vegan Dream, Organic (Allergen Free) - Cotton Candy Vanilla 2.27kg","<br>
<p> </p>",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Allergen free (Vegan Dream), Vegan Dream(All)",true,Title,Default Title,,,,,"",2270.0,shopify,10,deny,manual,61.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/VeganDreamAllergy_CottonCandy_2.27kg2023.png?v=1680004181,1,"",false,,,,,,,,,,,,,,,kg,,29.30,true,,,true,,,true,,,active
vegan-dream-organic-allergen-free-salted-choco-toffee,"Vegan Dream, Organic (Allergen Free) - Salted Choco Toffee 907g","old vegan dream (Standard) description :
<p data-mce-fragment=""1"">Vegan Dream is a premium blend of carefully selected plant protein sources consisting of concentrates, isolates and hydrolysates – all providing an exceptional amino acid profile and high bioavailability.</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">Old vegan Dream (Allergen Free) description: <br></p>
<p>Vegan Dream is a premium blend of carefully selected plant protein sources consisting of concentrates, isolates and hydrolysates – all providing an exceptional amino acid profile and high bioavailability.<br></p>
<br>
<p> </p>",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,"Allergen free (Vegan Dream), Vegan Dream(All)",false,Title,Default Title,,,,,"",907.0,shopify,3,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/sample_c196734c-9e5a-4ed6-9121-48cc6a3d9e0b.png?v=1680004179,1,"",false,,,,,,,,,,,,,,,g,,20.00,true,,,true,,,true,,,draft
muscle-magic-vegan-advanced-all-in-one-white-chocolate,"Muscle Magic Vegan, Advanced All-In-One - White Chocolate 2.1kg",<p></p>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",2100.0,shopify,23,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_WhiteChoc_2.27kg2022.png?v=1680004176,1,"",false,,,,,,,,,,,,,,,kg,,27.30,true,,,true,,,true,,,active
muscle-magic-vegan-vanilla-2kg,"Muscle Magic Vegan, Advanced All-In-One - Vanilla 2.1kg",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",2.1,shopify,23,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_Vanilla_2.27kg2023.png?v=1680004174,1,"",false,,,,,,,,,,,,,,,g,,23.00,true,,,true,,,true,,,active
muscle-magic-vegan-strawberry-2kg,"Muscle Magic Vegan, Advanced All-In-One - Strawberry 2.1kg","<p><br></p>
<br>",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",2.1,shopify,24,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_strawberry_2-27kg2023.png?v=1680004172,1,"",false,,,,,,,,,,,,,,,g,,23.00,true,,,true,,,true,,,active
muscle-magic-vegan-advanced-all-in-one-salted-caramel,"Muscle Magic Vegan, Advanced All-In-One - Salted Caramel 2.1kg",<p></p>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",2100.0,shopify,24,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_SaltedCaramel_2kg20221.png?v=1680004169,1,"",false,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,true,,,active
muscle-magic-vegan-advanced-all-in-one-red-velvet-cake,"Muscle Magic Vegan, Advanced All-In-One - Red Velvet Cake 2.1kg",<p></p>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",2100.0,shopify,24,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_Red_Velv_2-J27kg2022.png?v=1680004167,1,"",false,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,true,,,active
muscle-magic-vegan-red-fruits-2-kg,"Muscle Magic Vegan, Advanced All-In-One - Red Fruits   2 .1kg",<br>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",907.0,shopify,24,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_Red_fruits_2kg20222.png?v=1680004165,1,"",false,,,,,,,,,,,,,,,g,,23.00,true,,,true,,,true,,,active
muscle-magic-vegan-cookies-cream-2-kg,"Muscle Magic Vegan, Advanced All-In-One - Cookies & Cream 2.1kg","<p><br></p>
<br>",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",2.1,shopify,50,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_Cookies-Cream_2kg.png?v=1680004163,1,"",false,,,,,,,,,,,,,,,g,,23.00,true,,,true,,,true,,,active
muscle-magic-vegan-advanced-all-in-one-cinnamon-donut,"Muscle Magic Vegan, Advanced All-In-One - Cinnamon Donut 2.1kg",<p></p>,SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",2100.0,shopify,24,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_Cinnamon_donut_2kg.png?v=1680004160,1,"",false,,,,,,,,,,,,,,,kg,,23.00,true,,,true,,,true,,,active
muscle-magic-vegan-chocolate-peanut-butter-2-kg,"Muscle Magic Vegan, Advanced All-In-One - Chocolate Peanut Butter 2.1kg","<p><br></p>
<br>",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",907.0,shopify,30,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_Choc_Peanut_2kg2023.png?v=1680004158,1,"",false,,,,,,,,,,,,,,,g,,23.00,true,,,true,,,true,,,active
copy-of-muscle-magic-vegan-chocolate-peanut-butter-2-kg,"Muscle Magic Vegan, Advanced All-In-One - Chocolate 2.1kg","<p><br></p>
<br>",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",2100.0,shopify,21,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_Chocolate_2kg2022-2.png?v=1680004156,1,"",false,,,,,,,,,,,,,,,kg,,23.00,true,,,true,,,true,,,active
muscle-magic-vegan-advanced-all-in-one-banana,"Muscle Magic Vegan, Advanced All-In-One - Banana 2.1kg","",SUPANATURAL,Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes,Vegan Protein,Magic Muscle - Standard,true,Title,Default Title,,,,,"",2100.0,shopify,24,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0679/6754/9751/products/MM_vegan_Banana_2kg2022-2.png?v=1680004154,1,"",false,,,,,,,,,,,,,,,kg,,23.00,true,,,true,,,true,,,active
